UNIPROT_ACCESSION	Name	Species
Q8N960	centrosomal protein 120kDa	Homo sapiens
Q86VP3	phosphofurin acidic cluster sorting protein 2	Homo sapiens
P21333	filamin A, alpha (actin binding protein 280)	Homo sapiens
O54748	serine/threonine kinase 3 (STE20 homolog, yeast)	Rattus norvegicus
Q92562	FIG4 homolog (S. cerevisiae)	Homo sapiens
Q80V70	multiple EGF-like-domains 6	Mus musculus
Q8BZ20	poly (ADP-ribose) polymerase family, member 12	Mus musculus
Q8IZJ3	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	Homo sapiens
Q9CX98	cytochrome P450, family 2, subfamily u, polypeptide 1	Mus musculus
Q0D2E8	RFT1 homolog (S. cerevisiae)	Xenopus (Silurana) tropicalis
P18652	ribosomal protein S6 kinase, 90kDa, polypeptide 1	Gallus gallus
P21522	Heterogeneous nuclear ribonucleoprotein A1, A2/B1 homolog	Schistocerca americana
Q5ZL55	chromatin modifying protein 6	Gallus gallus
Q22165	STOmatin	Caenorhabditis elegans
Q9HB07	chromosome 12 open reading frame 10	Homo sapiens
Q00612	glucose-6-phosphate dehydrogenase X-linked	Mus musculus
Q2I6J1	wu:fc58a04	Danio rerio
Q86TV6	tetratricopeptide repeat domain 7B	Homo sapiens
Q5ZLX2	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	Gallus gallus
P54611	Vacuolar H[+]-ATPase 26kD E subunit	Drosophila melanogaster
P53619	archain 1	Bos taurus
Q6IP59	Choline transporter-like protein 2	Xenopus laevis
Q8TEY5	cAMP responsive element binding protein 3-like 4	Homo sapiens
O15072	ADAM metallopeptidase with thrombospondin type 1 motif, 3	Homo sapiens
P28271	aconitase 1	Mus musculus
Q5M8V8	LIM domain only 2 (rhombotin-like 1)	Xenopus (Silurana) tropicalis
P27117	ornithine decarboxylase 1	Bos taurus
A2BGL3	hypothetical LOC561091	Danio rerio
A4IIW7	hypothetical protein LOC100125075	Xenopus (Silurana) tropicalis
P10768	esterase D/formylglutathione hydrolase	Homo sapiens
Q80VW7	AT-hook transcription factor	Mus musculus
Q8WU17	ring finger protein 139	Homo sapiens
Q3T0K2	chaperonin containing TCP1, subunit 3 (gamma)	Bos taurus
P51617	interleukin-1 receptor-associated kinase 1	Homo sapiens
Q5RGJ5	CWF19-like 1, cell cycle control	Danio rerio
Q8R151	zinc finger, NFX1-type containing 1	Mus musculus
P26262	kallikrein B, plasma 1	Mus musculus
Q7ZUK7	WW domain containing adaptor with coiled-coil	Danio rerio
Q60803	TNF receptor-associated factor 3	Mus musculus
Q5F495	similar to 2C4D; MOB1, Mps One Binder kinase activator-like 3 (yeast)	Gallus gallus
A5D6U8	zgc:162913	Danio rerio
Q15599	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2	Homo sapiens
Q3ZBR5	tetratricopeptide repeat domain 1	Bos taurus
Q7LHG5	Transposon Ty3-I Gag-Pol polyprotein	Saccharomyces cerevisiae
P30937	somatostatin receptor 4	Rattus norvegicus
O95260	arginyltransferase 1	Homo sapiens
Q40784	Putative apospory-associated protein C	Cenchrus ciliaris
Q14344	guanine nucleotide binding protein (G protein), alpha 13	Homo sapiens
Q0GGW5	serine/threonine kinase 11	Gallus gallus
Q5RDQ8	glutamate receptor, metabotropic 7	Pongo abelii
Q9JM76	actin related protein 2/3 complex, subunit 3	Mus musculus
Q9DBG7	signal recognition particle receptor ('docking protein')	Mus musculus
Q6NWH0	hypothetical LOC554542; zgc:63470	Danio rerio
Q9JI19	fibroblast growth factor (acidic) intracellular binding protein	Mus musculus
P63155	crooked neck pre-mRNA splicing factor-like 1 (Drosophila)	Rattus norvegicus
Q63159	coenzyme Q3 homolog, methyltransferase (S. cerevisiae)	Rattus norvegicus
Q5ZJU3	asparagine synthetase	Gallus gallus
P78382	solute carrier family 35 (CMP-sialic acid transporter), member A1	Homo sapiens
O95786	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	Homo sapiens
P29074	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)	Homo sapiens
Q8BGC9	cellular repressor of E1A-stimulated genes 2	Mus musculus
Q02372	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	Bos taurus
Q1JP75	dicarbonyl/L-xylulose reductase	Bos taurus
Q0V8H6	Mov10, Moloney leukemia virus 10, homolog (mouse)	Bos taurus
Q5RAH7	phosphatidylinositol glycan anchor biosynthesis, class M	Pongo abelii
Q6GM82	glutamic pyruvate transaminase (alanine aminotransferase) 2	Xenopus laevis
Q8JHE9	anterior pharynx defective 1B	Danio rerio
Q5R5C9	saccharopine dehydrogenase (putative)	Pongo abelii
P54714	triosephosphate isomerase 1	Canis lupus
Q6NRW5	Uncharacterized protein C15orf41 homolog	Xenopus laevis
P41932	abnormal embryonic PARtitioning of cytoplasm	Caenorhabditis elegans
O35887	calumenin	Mus musculus
P61799	aprataxin	Danio rerio
B0BN95	harbinger transposase derived 1	Rattus norvegicus
Q8R367	RAS-like, estrogen-regulated, growth-inhibitor	Mus musculus
Q8WVM7	stromal antigen 1	Homo sapiens
Q969X5	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	Homo sapiens
Q61469	phosphatidic acid phosphatase type 2A	Mus musculus
Q01664	transcription factor AP-4 (activating enhancer binding protein 4)	Homo sapiens
Q9BX84	transient receptor potential cation channel, subfamily M, member 6	Homo sapiens
Q62867	gamma-glutamyl hydrolase	Rattus norvegicus
Q4KLA0	hypothetical protein MGC116479	Xenopus laevis
Q8VEM8	similar to Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3; solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3	Mus musculus
Q80XC3	USP6 N-terminal like	Mus musculus
Q8BV79	lupus brain antigen 1	Mus musculus
Q9BUD6	spondin 2, extracellular matrix protein	Homo sapiens
Q1LUT1	enhancer of mRNA decapping 4	Danio rerio
P62262	14-3-3 protein	Ovis aries
Q4JIM4	presenilin 1 (Alzheimer disease 3)	Gallus gallus
Q9UGJ0	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	Homo sapiens
Q8N264	Rho GTPase activating protein 24	Homo sapiens
Q9UNN5	Fas (TNFRSF6) associated factor 1	Homo sapiens
Q4QQW3	alcohol dehydrogenase, iron containing, 1	Rattus norvegicus
Q17QH8	short chain dehydrogenase/reductase family 39U, member 1	Bos taurus
Q5E985	hyaluronoglucosaminidase 1	Bos taurus
Q99943	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	Homo sapiens
Q5ZL42	basic leucine zipper and W2 domains 2	Gallus gallus
P51644	ADP ribosylation factor 4	Xenopus laevis
Q9HAC7	chromosome 7 open reading frame 10	Homo sapiens
C3YFB4	BRAFLDRAFT_58504	Branchiostoma floridae
Q91Z92	similar to UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6; UDP-Gal:betaGal beta 1,3-galactosyltransferase, polypeptide 6	Mus musculus
Q9ESG5	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Rattus norvegicus
P00389	P450 (cytochrome) oxidoreductase	Oryctolagus cuniculus
B1H116	uridine-cytidine kinase 2	Xenopus (Silurana) tropicalis
Q60855	receptor (TNFRSF)-interacting serine-threonine kinase 1	Mus musculus
Q9BZE4	GTP binding protein 4	Homo sapiens
P09215	protein kinase C, delta	Rattus norvegicus
P17560	renin binding protein	Sus scrofa
Q5HYK7	SH3 domain containing 19	Homo sapiens
P21580	tumor necrosis factor, alpha-induced protein 3	Homo sapiens
Q6AYQ8	fumarylacetoacetate hydrolase domain containing 1	Rattus norvegicus
Q16644	mitogen-activated protein kinase-activated protein kinase 3	Homo sapiens
A4VPC3	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	Pseudomonas stutzeri
P00687	amylase 1, salivary	Mus musculus
Q9HCB6	spondin 1, extracellular matrix protein	Homo sapiens
O54750	cytochrome P450, family 2, subfamily j, polypeptide 6	Mus musculus
Q5QJE6	deoxynucleotidyltransferase, terminal, interacting protein 2	Homo sapiens
Q5BL72	frizzled homolog 7	Xenopus (Silurana) tropicalis
Q5R5U1	RAB10, member RAS oncogene family	Pongo abelii
Q90673	PRELI domain containing 1	Gallus gallus
A0JM12	multiple EGF-like-domains 10	Xenopus (Silurana) tropicalis
Q5SRX1	target of myb1-like 2 (chicken)	Mus musculus
Q5RED8	cylindromatosis (turban tumor syndrome)	Pongo abelii
Q9HBY0	NADPH oxidase 3	Homo sapiens
Q5GLH2	tribbles homolog 2 (Drosophila)	Bos taurus
Q8MJU9	myosin, heavy chain 7, cardiac muscle, beta	Equus caballus
Q90Z16	optineurin	Gallus gallus
A3KGZ2	zgc:158437	Danio rerio
Q3TZM9	asparagine-linked glycosylation 11 homolog (yeast, alpha-1,2-mannosyltransferase)	Mus musculus
Q91Z46	dual specificity phosphatase 7; similar to dual specificity phosphatase 7	Mus musculus
O00567	NOP56 ribonucleoprotein homolog (yeast)	Homo sapiens
Q5U508	hypothetical LOC495403	Xenopus laevis
Q8CD54	family with sequence similarity 38, member B2	Mus musculus
Q8C172	LAG1 homolog, ceramide synthase 6	Mus musculus
Q9BVH7	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	Homo sapiens
Q7ZYC4	long-chain-fatty-acid--CoA ligase ACSBG2	Xenopus laevis
A2APV2	formin-like 2	Mus musculus
Q9DC23	DnaJ (Hsp40) homolog, subfamily C, member 10	Mus musculus
Q5E9S4	alanine-glyoxylate aminotransferase 2-like 1	Bos taurus
P09960	leukotriene A4 hydrolase	Homo sapiens
Q6DNG6	sialytransferase St8SiaI	Xenopus (Silurana) tropicalis
Q5R7J6	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	Pongo abelii
P46952	3-hydroxyanthranilate 3,4-dioxygenase	Homo sapiens
Q5F3Z9	zinc finger CCCH-type containing 14	Gallus gallus
Q8VEL2	myotubularin related protein 14	Mus musculus
Q92EK7	Uncharacterized oxidoreductase Lin0452	Listeria innocua
Q6NU98	serine/threonine-protein kinase pdik1l-B	Xenopus laevis
Q9DB05	N-ethylmaleimide sensitive fusion protein attachment protein alpha	Mus musculus
Q28727	solute carrier family 10 (sodium/bile acid cotransporter family), member 2	Oryctolagus cuniculus
Q9DDT2	phosphoinositide-3-kinase adaptor protein 1	Gallus gallus
Q8BG30	Wolf-Hirschhorn syndrome candidate 2 (human)	Mus musculus
P97379	GTPase activating protein (SH3 domain) binding protein 2	Mus musculus
Q96QF0	RAB3A interacting protein (rabin3)	Homo sapiens
Q63369	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	Rattus norvegicus
Q5T160	arginyl-tRNA synthetase 2, mitochondrial	Homo sapiens
Q9V3D2	Coproporphyrinogen oxidase	Drosophila melanogaster
Q9BY84	dual specificity phosphatase 16	Homo sapiens
Q8N695	solute carrier family 5 (iodide transporter), member 8	Homo sapiens
Q91754	glucokinase regulator	Xenopus laevis
Q9VTK2	rotated abdomen	Drosophila melanogaster
P04176	phenylalanine hydroxylase	Rattus norvegicus
P30838	aldehyde dehydrogenase 3 family, memberA1	Homo sapiens
P13073	cytochrome c oxidase subunit IV isoform 1	Homo sapiens
Q9Z2K9	Isocitrate dehydrogenase [NADP] cytoplasmic	Microtus mexicanus
P82251	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9	Homo sapiens
Q5RFR0	tocopherol (alpha) transfer protein-like	Pongo abelii
P0C6B8	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	Rattus norvegicus
P00919	carbonic anhydrase II	Oryctolagus cuniculus
Q8IUR6	chromosome 5 open reading frame 41	Homo sapiens
Q3ZBD2	actin-related protein 10 homolog (S. cerevisiae)	Bos taurus
Q7T010	zgc:103736; si:ch211-150a22.1	Danio rerio
O15091	KIAA0391	Homo sapiens
A4IF63	tripartite motif-containing 2	Bos taurus
Q866N2	myocilin	Oryctolagus cuniculus
Q923E4	sirtuin 1 (silent mating type information regulation 2, homolog) 1 (S. cerevisiae)	Mus musculus
Q7ZWZ5	citrate synthase	Xenopus laevis
Q90ZC7	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	Xenopus laevis
O08992	similar to syntenin; syndecan binding protein	Mus musculus
Q6DJ06	MGC89099 protein	Xenopus (Silurana) tropicalis
Q28EX9	ubiquitin-like domain containing CTD phosphatase 1	Xenopus (Silurana) tropicalis
Q7ZVN7	mediator complex subunit 15	Danio rerio
P07872	acyl-Coenzyme A oxidase 1, palmitoyl	Rattus norvegicus
Q9BQA9	chromosome 17 open reading frame 62	Homo sapiens
O15335	chondroadherin	Homo sapiens
Q6N021	tet oncogene family member 2	Homo sapiens
Q6KCD5	Nipped-B homolog (Drosophila)	Mus musculus
Q7T2A5	eukaryotic translation initiation factor 3, subunit 6 interacting protein	Danio rerio
Q61187	tumor susceptibility gene 101	Mus musculus
Q9V3H2	26S proteasome non-ATPase regulatory subunit 14	Drosophila melanogaster
P21912	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Homo sapiens
Q8QFP8	LIM domain kinase 1	Gallus gallus
P54802	N-acetylglucosaminidase, alpha-	Homo sapiens
P23004	similar to ubiquinol--cytochrome c reductase; ubiquinol-cytochrome c reductase core protein II	Bos taurus
Q91V92	ATP citrate lyase	Mus musculus
Q96BT7	alkB, alkylation repair homolog 8 (E. coli)	Homo sapiens
Q8JIY1	metalloprotease/disintegrin	Xenopus laevis
Q9UH65	SWAP switching B-cell complex 70kDa subunit	Homo sapiens
Q9DBB9	carboxypeptidase N, polypeptide 2	Mus musculus
P08761	Ecdysone-induced protein 28/29kD	Drosophila melanogaster
Q5F371	strawberry notch homolog 1 (Drosophila)	Gallus gallus
Q07352	zinc finger protein 36, C3H type-like 1	Homo sapiens
P29054	general transcription factor IIB	Xenopus laevis
Q9VZS3	Protein translation factor SUI1 homolog	Drosophila melanogaster
Q32KH5	galactosamine (N-acetyl)-6-sulfate sulfatase	Canis lupus
Q91WM2	cat eye syndrome chromosome region, candidate 5 homolog (human)	Mus musculus
Q6DD06	MGC80486 protein	Xenopus laevis
Q6GNQ1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	Xenopus laevis
Q6P4R8	nuclear factor related to kappaB binding protein	Homo sapiens
P11475	estrogen-related receptor beta	Rattus norvegicus
P28072	proteasome (prosome, macropain) subunit, beta type, 6	Homo sapiens
Q32LN0	ets homologous factor	Bos taurus
Q2HJI3	similar to CG5323 CG5323-PA; family with sequence similarity 136, member A; similar to Protein FAM136A	Bos taurus
Q99L28	predicted gene 6457; cDNA sequence BC003885	Mus musculus
Q9NX74	dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)	Homo sapiens
Q3T102	eukaryotic translation initiation factor 3, subunit E	Bos taurus
Q9QYJ0	DnaJ (Hsp40) homolog, subfamily A, member 2	Mus musculus
Q9GZU5	nyctalopin	Homo sapiens
Q99M80	protein tyrosine phosphatase, receptor type, T	Mus musculus
Q9H477	ribokinase	Homo sapiens
P79761	cytochrome P450, family 1, subfamily A, polypeptide 1	Gallus gallus
Q9NYB5	solute carrier organic anion transporter family, member 1C1	Homo sapiens
Q12719	Laccase-4	Trametes versicolor
Q5F418	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	Gallus gallus
P48437	prospero-related homeobox 1	Mus musculus
Q8TDQ7	glucosamine-6-phosphate deaminase 2	Homo sapiens
Q5XHI2	hypothetical LOC494991	Xenopus laevis
Q6P5E4	UDP-glucose ceramide glucosyltransferase-like 1; similar to UDP-glucose ceramide glucosyltransferase-like 1	Mus musculus
Q9CA28	AT1G68540	Arabidopsis thaliana
Q8BW10	NIN1/RPN12 binding protein 1 homolog (S. cerevisiae)	Mus musculus
Q6NVU2	protein phosphatase 1, catalytic subunit, gamma isoform	Xenopus (Silurana) tropicalis
Q6PC64	ELOVL family member 6, elongation of long chain fatty acids (yeast)	Danio rerio
O75594	peptidoglycan recognition protein 1	Homo sapiens
Q21828	UPF0041 protein R07E5.13	Caenorhabditis elegans
Q91VN6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	Mus musculus
Q9JI08	bridging integrator 3	Mus musculus
Q9H0W9	chromosome 11 open reading frame 54	Homo sapiens
Q8VCN5	cystathionase (cystathionine gamma-lyase)	Mus musculus
Q5NVI9	DnaJ (Hsp40) homolog, subfamily A, member 1	Pongo abelii
P91660	lethal (2) 03659	Drosophila melanogaster
O88377	phosphatidylinositol-5-phosphate 4-kinase, type II, beta	Rattus norvegicus
Q6NY73	lectin, galactoside-binding, soluble, 3 binding protein b	Danio rerio
O55057	phosphodiesterase 6D, cGMP-specific, rod, delta	Mus musculus
A0PYP3	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Clostridium novyi
Q6FHJ7	secreted frizzled-related protein 4	Homo sapiens
P23824	GATA binding protein 2	Gallus gallus
Q5ZJZ5	3-hydroxybutyrate dehydrogenase, type 1	Gallus gallus
Q9JME2	carbohydrate sulfotransferase 11	Mus musculus
Q6NYE2	zgc:77115	Danio rerio
Q71U34	Heat shock cognate 71 kDa protein	Saguinus oedipus
P16444	dipeptidase 1 (renal)	Homo sapiens
O60879	diaphanous homolog 2 (Drosophila)	Homo sapiens
Q9W539	Hormone receptor 4	Drosophila melanogaster
Q5R8Z8	RAB14, member RAS oncogene family	Pongo abelii
O14512	suppressor of cytokine signaling 7	Homo sapiens
Q9BXW4	microtubule-associated protein 1 light chain 3 gamma	Homo sapiens
Q9WV52	pleckstrin 2	Mus musculus
Q96RW7	hemicentin 1	Homo sapiens
Q9UHD2	TANK-binding kinase 1	Homo sapiens
P42768	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	Homo sapiens
Q96AB6	N-terminal asparagine amidase	Homo sapiens
Q2KI54	armadillo repeat containing 8	Bos taurus
Q8K370	acyl-Coenzyme A dehydrogenase family, member 10	Mus musculus
Q00651	integrin alpha 4	Mus musculus
Q5ZIJ9	mindbomb homolog 2 (Drosophila)	Gallus gallus
Q90687	protein tyrosine phosphatase, non-receptor type 11; similar to cSH-PTP2	Gallus gallus
Q8TC12	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	Homo sapiens
Q9JMD3	START domain containing 10	Mus musculus
Q9NZR2	low density lipoprotein-related protein 1B (deleted in tumors)	Homo sapiens
Q3ZMH1	solute carrier family 5 (iodide transporter), member 8-like	Danio rerio
A2RSQ0	DENN/MADD domain containing 5B	Mus musculus
Q2KJC9	aldehyde dehydrogenase 7 family, member A1	Bos taurus
O75832	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	Homo sapiens
Q9HAB8	phosphopantothenoylcysteine synthetase	Homo sapiens
P80404	4-aminobutyrate aminotransferase	Homo sapiens
Q5E9H5	BCS1-like (yeast)	Bos taurus
Q9Z2J0	solute carrier family 23 (nucleobase transporters), member 1	Mus musculus
Q924W7	suppression of tumorigenicity 5	Mus musculus
Q8BGZ4	CDC23 (cell division cycle 23, yeast, homolog)	Mus musculus
Q7LL04	UPF0676 protein C1494.01	Schizosaccharomyces pombe
Q63505	general transcription factor III C 1	Rattus norvegicus
Q9H981	ARP8 actin-related protein 8 homolog (yeast)	Homo sapiens
Q6DJI9	MGC82154 protein	Xenopus laevis
Q12888	tumor protein p53 binding protein 1	Homo sapiens
Q923V4	F-box protein 6	Rattus norvegicus
Q6UWM7	lactase-like	Homo sapiens
Q9Y5Q9	general transcription factor IIIC, polypeptide 3, 102kDa	Homo sapiens
Q7ZUX3	WD repeat domain 45	Danio rerio
P08953	Toll	Drosophila melanogaster
Q6DDK2	fatty acid desaturase 2	Xenopus laevis
Q7Z7L9	zinc finger and SCAN domain containing 2	Homo sapiens
P54319	phospholipase A2, activating protein	Rattus norvegicus
Q0MVN8	crystallin, zeta (quinone reductase)	Sus scrofa
Q5RD64	contactin associated protein-like 2	Pongo abelii
Q5BLE8	retinol saturase (all-trans-retinol 13,14-reductase)	Danio rerio
O76082	solute carrier family 22 (organic cation/carnitine transporter), member 5	Homo sapiens
Q9U539	Organic Cation Transporter	Caenorhabditis elegans
Q9SEV0	Leucoanthocyanidin reductase	Arabidopsis thaliana
Q9NQZ8	zinc finger protein 71	Homo sapiens
O60271	sperm associated antigen 9	Homo sapiens
Q99N02	solute carrier organic anion transporter family, member 3a1	Rattus norvegicus
P52435	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa	Homo sapiens
O35717	suppressor of cytokine signaling 2; predicted gene 8000	Mus musculus
O13016	protein tyrosine phosphatase, non-receptor type 1	Gallus gallus
Q15485	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)	Homo sapiens
Q06805	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	Bos taurus
P49585	phosphate cytidylyltransferase 1, choline, alpha	Homo sapiens
Q3TYE7	transmembrane protein 136	Mus musculus
Q5HZQ9	Pecanex-like protein C14orf135 homolog	Xenopus laevis
P53671	LIM domain kinase 2	Homo sapiens
O95155	ubiquitination factor E4B (UFD2 homolog, yeast)	Homo sapiens
Q5RC04	RasGEF domain family, member 1B	Pongo abelii
Q9VBW3	Tyrosine kinase receptor Cad96Ca	Drosophila melanogaster
Q8BIE6	FERM domain containing 4A	Mus musculus
Q6VAB6	kinase suppressor of ras 2	Homo sapiens
P46058	Epidermal differentiation-specific protein	Cynops pyrrhogaster
Q9CPX9	anaphase promoting complex subunit 11	Mus musculus
Q9XT26	cyclin T1	Equus caballus
Q8VE22	mitochondrial ribosomal protein S23; similar to Mrps23 protein	Mus musculus
O60315	zinc finger E-box binding homeobox 2	Homo sapiens
P70473	alpha-methylacyl-CoA racemase	Rattus norvegicus
Q9WU78	programmed cell death 6 interacting protein	Mus musculus
Q8N5H7	SH2 domain containing 3C	Homo sapiens
Q4KMI4	zgc:110128	Danio rerio
Q0VFD8	biogenesis of lysosomal organelles complex-1, subunit 1	Xenopus (Silurana) tropicalis
Q5R481	septin 7	Pongo abelii
O35344	karyopherin (importin) alpha 3	Mus musculus
Q9H3S7	protein tyrosine phosphatase, non-receptor type 23	Homo sapiens
Q6ZUX7	lipoma HMGIC fusion partner-like 2	Homo sapiens
Q9WTR0	matrix metallopeptidase 16	Mus musculus
Q9Z108	staufen (RNA binding protein) homolog 1 (Drosophila)	Mus musculus
Q561L1	hypothetical protein MGC115169	Xenopus laevis
A8WGF7	Protein spinster homolog 1	Xenopus (Silurana) tropicalis
Q16822	phosphoenolpyruvate carboxykinase 2 (mitochondrial)	Homo sapiens
Q32KI9	arylsulfatase i	Mus musculus
P35978	kinesin heavy chain	Strongylocentrotus purpuratus
Q0V9N0	SEC14-like 1	Xenopus (Silurana) tropicalis
Q9DBN5	lon peptidase 2, peroxisomal	Mus musculus
Q6PFR5	transformer 2 alpha homolog (Drosophila)	Mus musculus
Q1RMR4	RAB15, member RAS onocogene family	Bos taurus
Q8SQC1	scavenger receptor class B, member 1	Sus scrofa
P98156	very low density lipoprotein receptor	Mus musculus
A5D8M6	hypothetical protein LOC100049749	Xenopus laevis
Q28D84	enhancer of zeste homolog 2 (Drosophila)	Xenopus (Silurana) tropicalis
Q6DK91	eukaryotic translation initiation factor 3, subunit M	Xenopus (Silurana) tropicalis
Q0VA61	hypoxia up-regulated 1	Xenopus (Silurana) tropicalis
Q566I3	similar to calcium binding protein, 140 kDa	Xenopus laevis
Q9QYM0	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	Rattus norvegicus
P04642	lactate dehydrogenase A; similar to L-lactate dehydrogenase A chain (LDH-A) (LDH muscle subunit) (LDH-M)	Rattus norvegicus
Q08E38	PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)	Bos taurus
Q6A009	ring finger protein 160	Mus musculus
Q8AWF2	Nascent polypeptide-associated complex subunit alpha	Oreochromis niloticus
Q6IN84	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	Homo sapiens
Q9C0A0	contactin associated protein-like 4	Homo sapiens
Q58EM4	zgc:110816	Danio rerio
P22682	similar to Casitas B-lineage lymphoma; Casitas B-lineage lymphoma	Mus musculus
Q0D4Z6	Probable indole-3-acetic acid-amido synthetase GH3.8	Oryza sativa
Q2HJ57	coactosin-like 1 (Dictyostelium)	Bos taurus
Q62448	eukaryotic translation initiation factor 4, gamma 2	Mus musculus
Q5ND34	WD repeat domain 81	Mus musculus
Q95R48	Organic cation transporter 2	Drosophila melanogaster
Q96LD8	SUMO/sentrin specific peptidase family member 8	Homo sapiens
Q86XA9	HEAT repeat containing 5A	Homo sapiens
P80147	4-aminobutyrate aminotransferase	Sus scrofa
Q8BJ03	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	Mus musculus
Q8BZM1	glomulin, FKBP associated protein	Mus musculus
Q15032	R3H domain containing 1	Homo sapiens
Q3ZBD0	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	Bos taurus
O14807	muscle RAS oncogene homolog	Homo sapiens
Q29503	cell division cycle 34 homolog (S. cerevisiae)	Oryctolagus cuniculus
Q6Y1H2	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	Homo sapiens
P11584	myospheroid	Drosophila melanogaster
