Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_11006,P10809,"60 kDa heat shock protein, mitochondrial (60 kDa chaperonin) (Chaperonin 60) (CPN60) (Heat shock protein 60) (HSP-60) (Hsp60) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)",0,3.590607427,3.41E-07,activation of immune response; immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine production
Phel_contig_10438,A0JP86,Laminin subunit gamma-1,5.00E-31,-1.103616288,0.047110403,biological adhesion; cell adhesion
Phel_contig_1077,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",7.00E-45,1.608941924,0.000195407,biological adhesion; cell adhesion
Phel_contig_1112,Q61824,Disintegrin and metalloproteinase domain-containing protein 12 (ADAM 12) (EC 3.4.24.-) (Meltrin-alpha),1.00E-151,4.167059881,2.40E-12,biological adhesion; cell adhesion
Phel_contig_1213,Q9Y6R7,IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP),3.00E-20,,,biological adhesion; cell adhesion
Phel_contig_12224,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",6.00E-14,4.213001876,4.55E-05,biological adhesion; cell adhesion
Phel_contig_12310,O15335,Chondroadherin (Cartilage leucine-rich protein),6.00E-26,-2.089970978,0.008846419,biological adhesion; cell adhesion
Phel_contig_12416,Q9ERB4,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M) (Fragments),1.00E-09,1.607870667,0.043065409,biological adhesion; cell adhesion
Phel_contig_12475,P10039,Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C),2.00E-06,2.962207712,0.000275401,biological adhesion; cell adhesion
Phel_contig_13004,Q8BMN4,Leishmanolysin-like peptidase (EC 3.4.24.-),3.00E-167,1.636105426,0.032370128,biological adhesion; cell adhesion
Phel_contig_13039,Q8BYI9,Tenascin-R (TN-R) (Janusin) (Neural recognition molecule J1-160/180) (Restrictin),2.00E-20,,,biological adhesion; cell adhesion
Phel_contig_13040,Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)],0,2.041564301,0.017380599,biological adhesion; cell adhesion
Phel_contig_13213,Q9HCB6,Spondin-1 (F-spondin) (Vascular smooth muscle cell growth-promoting factor),2.00E-91,-2.426769178,1.22E-05,biological adhesion; cell adhesion
Phel_contig_14429,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),9.00E-60,,,biological adhesion; cell adhesion
Phel_contig_14562,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),2.00E-67,,,biological adhesion; cell adhesion
Phel_contig_1504,Q5RD64,Contactin-associated protein-like 2,5.00E-25,2.125895235,0.030296546,biological adhesion; cell adhesion
Phel_contig_15461,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),1.00E-16,,,biological adhesion; cell adhesion
Phel_contig_15588,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",2.00E-87,,,biological adhesion; cell adhesion
Phel_contig_1621,O94985,Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)],0,1.214902082,0.029274372,biological adhesion; cell adhesion
Phel_contig_16227,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),1.00E-70,,,biological adhesion; cell adhesion
Phel_contig_16229,Q9Y223,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)],2.00E-104,2.231866652,0.041521651,biological adhesion; cell adhesion
Phel_contig_163,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",2.00E-16,2.211117296,0.002860569,biological adhesion; cell adhesion
Phel_contig_17392,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),1.00E-46,,,biological adhesion; cell adhesion
Phel_contig_17473,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),4.00E-40,,,biological adhesion; cell adhesion
Phel_contig_17725,Q8SQC1,Scavenger receptor class B member 1 (SRB1) (High density lipoprotein receptor SR-BI) (SR-BI),1.00E-91,,,biological adhesion; cell adhesion
Phel_contig_18209,Q90953,Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Large fibroblast proteoglycan) (PG-M),6.00E-07,-1.886573388,0.004633079,biological adhesion; cell adhesion
Phel_contig_18430,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),2.00E-31,,,biological adhesion; cell adhesion
Phel_contig_19328,Q6UWL6,Kin of IRRE-like protein 2 (Kin of irregular chiasm-like protein 2) (Nephrin-like protein 3),7.00E-07,-3.870095783,2.77E-07,biological adhesion; cell adhesion
Phel_contig_19714,Q9IBG7,Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin),1.00E-30,,,biological adhesion; cell adhesion
Phel_contig_20339,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",4.00E-17,,,biological adhesion; cell adhesion
Phel_contig_22168,Q9IBG7,Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin),1.00E-133,,,biological adhesion; cell adhesion
Phel_contig_22898,Q5RD64,Contactin-associated protein-like 2,7.00E-24,-3.536794836,0.00047577,biological adhesion; cell adhesion
Phel_contig_2427,A0JM12,Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10),2.00E-24,3.021898948,0.001554145,biological adhesion; cell adhesion
Phel_contig_24543,Q9Y6R7,IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP),3.00E-29,,,biological adhesion; cell adhesion
Phel_contig_2464,Q80X19,Collagen alpha-1(XIV) chain,4.00E-09,1.713188057,0.010355497,biological adhesion; cell adhesion
Phel_contig_2617,Q24JV9,Galectin-3-binding protein A (Lectin galactoside-binding soluble 3-binding protein A),1.00E-10,2.645993105,0.000609188,biological adhesion; cell adhesion
Phel_contig_28586,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),3.00E-10,,,biological adhesion; cell adhesion
Phel_contig_29574,A2AVA0,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 (Polydom)",1.00E-15,,,biological adhesion; cell adhesion
Phel_contig_3209,Q8IUX8,Epidermal growth factor-like protein 6 (EGF-like protein 6) (MAM and EGF domains-containing gene protein),3.00E-49,6.68541827,4.21E-18,biological adhesion; cell adhesion
Phel_contig_3656,Q6RUV5,Ras-related C3 botulinum toxin substrate 1 (p21-Rac1),1.00E-120,2.326854034,0.008315374,biological adhesion; cell adhesion
Phel_contig_4346,Q8BYI9,Tenascin-R (TN-R) (Janusin) (Neural recognition molecule J1-160/180) (Restrictin),4.00E-49,-2.79149189,0.003861268,biological adhesion; cell adhesion
Phel_contig_4657,Q90W79,Contactin-5 (F11 axonin-1-related protein 2) (FAR-2),2.00E-06,2.626457273,0.045125798,biological adhesion; cell adhesion
Phel_contig_4772,Q9IBG7,Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin),4.00E-127,,,biological adhesion; cell adhesion
Phel_contig_512,Q9VZI3,Unc-112-related protein (Fermitin-1),0,-1.445550229,0.000961258,biological adhesion; cell adhesion
Phel_contig_531,Q9IBG7,Kielin/chordin-like protein (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin),3.00E-06,2.15876896,0.011515734,biological adhesion; cell adhesion
Phel_contig_5338,Q9UM22,Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein),8.00E-47,-3.025350968,1.62E-12,biological adhesion; cell adhesion
Phel_contig_5495,Q8SQC1,Scavenger receptor class B member 1 (SRB1) (High density lipoprotein receptor SR-BI) (SR-BI),7.00E-80,-1.378972667,0.025354036,biological adhesion; cell adhesion
Phel_contig_5604,Q9VZ23,GTP-binding nuclear protein Ran (Ras-related nuclear protein),3.00E-108,1.542056636,0.001544511,biological adhesion; cell adhesion
Phel_contig_562,Q6NY73,Galectin-3-binding protein B (Lectin galactoside-binding soluble 3-binding protein B),3.00E-29,-2.686881206,1.44E-06,biological adhesion; cell adhesion
Phel_contig_669,Q9Y6R7,IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP),1.00E-09,2.539985574,4.49E-06,biological adhesion; cell adhesion
Phel_contig_6884,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),1.00E-46,-3.680115888,1.34E-05,biological adhesion; cell adhesion
Phel_contig_7024,P35223,Catenin beta (Beta-catenin),0,1.461948896,0.003633386,biological adhesion; cell adhesion
Phel_contig_7830,P82198,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),1.00E-07,-1.528783744,0.004073999,biological adhesion; cell adhesion
Phel_contig_8143,Q9C0A0,Contactin-associated protein-like 4 (Cell recognition molecule Caspr4),3.00E-23,2.169646478,0.007705451,biological adhesion; cell adhesion
Phel_contig_8182,Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1 (RAPH1) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 18 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 9 protein) (Lamellipodin) (Proline-rich EVH1 ligand 2) (PREL-2) (Protein RMO1),4.00E-09,3.621420141,0.000218859,biological adhesion; cell adhesion
Phel_contig_8303,Q6NY73,Galectin-3-binding protein B (Lectin galactoside-binding soluble 3-binding protein B),7.00E-15,,,biological adhesion; cell adhesion
Phel_contig_8635,Q94887,Neurexin-4 (Neurexin IV),3.00E-22,-3.463178158,0.00061805,biological adhesion; cell adhesion
Phel_contig_884,Q9Y2D8,Afadin- and alpha-actinin-binding protein (ADIP) (Afadin DIL domain-interacting protein) (SSX2-interacting protein),2.00E-74,2.939511277,8.60E-05,biological adhesion; cell adhesion
Phel_contig_9391,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),2.00E-92,,,biological adhesion; cell adhesion
Phel_contig_9460,Q6RUV5,Ras-related C3 botulinum toxin substrate 1 (p21-Rac1),1.00E-52,1.566675907,0.001112169,biological adhesion; cell adhesion
Phel_contig_9582,Q8BMN4,Leishmanolysin-like peptidase (EC 3.4.24.-),1.00E-17,,,biological adhesion; cell adhesion
Phel_contig_9614,A0JM12,Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10),3.00E-47,,,biological adhesion; cell adhesion
Phel_contig_9889,A0JM12,Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10),9.00E-06,,,biological adhesion; cell adhesion
Phel_contig_9910,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),9.00E-97,,,biological adhesion; cell adhesion
Phel_contig_9977,Q9VBW3,Tyrosine kinase receptor Cad96Ca (EC 2.7.10.1) (Cadherin-96Ca) (Tyrosine kinase receptor HD-14),8.00E-35,,,biological adhesion; cell adhesion
Phel_contig_12013,O14522,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),4.00E-69,,,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_13337,Q00651,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (Lymphocyte Peyer patch adhesion molecules subunit alpha) (LPAM subunit alpha) (VLA-4 subunit alpha) (CD antigen CD49d),3.00E-16,3.645797748,0.000118298,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_1522,P11584,Integrin beta-PS (Position-specific antigen beta subunit) (Protein myospheroid) (Protein olfactory C),7.00E-143,1.749651349,0.041325332,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_21111,P11584,Integrin beta-PS (Position-specific antigen beta subunit) (Protein myospheroid) (Protein olfactory C),2.00E-44,,,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_2142,Q00651,Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (Lymphocyte Peyer patch adhesion molecules subunit alpha) (LPAM subunit alpha) (VLA-4 subunit alpha) (CD antigen CD49d),6.00E-82,3.078901159,2.44E-07,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_2345,P49615,Cyclin-dependent kinase 5 (EC 2.7.11.22) (CR6 protein kinase) (CRK6) (Cell division protein kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),8.00E-164,2.19467109,8.00E-05,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_23587,O14522,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),9.00E-18,,,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_26294,O14522,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),1.00E-34,,,biological adhesion; cell adhesion; cell surface linked signal transduction
Phel_contig_3140,P08953,Protein toll,1.00E-17,4.235209157,5.30E-13,biological adhesion; cell adhesion; cell surface linked signal transduction; humoral immune response; immune response; innate immune response
Phel_contig_6114,O14522,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),2.00E-150,,,biological adhesion; cell adhesion; cell surface receptor linked signal transduction
Phel_contig_619,O14522,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),2.00E-156,1.531075304,0.016076026,biological adhesion; cell adhesion; cell surface receptor linked signal transduction
Phel_contig_7590,Q76LX8,A disintegrin and metalloproteinase with thrombospondin motifs 13 (ADAM-TS 13) (ADAM-TS13) (ADAMTS-13) (EC 3.4.24.87) (von Willebrand factor-cleaving protease) (vWF-CP) (vWF-cleaving protease),8.00E-17,8.000185604,3.96E-14,biological adhesion; cell adhesion; cell surface receptor linked signal transduction
Phel_contig_9206,B0FYY4,Integrin beta-1 (Fibronectin receptor subunit beta) (Integrin subunit beta-1) (VLA-4 subunit beta) (CD antigen CD29),6.00E-36,-1.411745881,0.009282626,biological adhesion; cell adhesion; cell surface receptor linked signal transduction
Phel_contig_787,Q28199,"Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]",6.00E-59,0.952186701,0.044651315,biological adhesion; cell adhesion; cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_9237,P08953,Protein toll,1.00E-18,,,biological adhesion; cell adhesion; cell surface receptor linked signal transduction; humoral immune response; immune response; innate immune response
Phel_contig_9726,P08953,Protein toll,2.00E-35,-2.261923779,0.004957852,biological adhesion; cell adhesion; cell surface receptor linked signal transduction; humoral immune response; immune response; innate immune response
Phel_contig_2739,Q9BUD6,Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin),3.00E-61,5.582035306,3.82E-15,biological adhesion; cell adhesion; immune response
Phel_contig_9953,Q2I6J1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2A (EC 3.1.3.86) (Inositol polyphosphate phosphatase-like protein 1A) (INPPL1-A) (SH2 domain-containing inositol 5'-phosphatase 2A) (SH2 domain-containing inositol phosphatase 2A) (SHIP-2A)",5.00E-171,1.723284023,0.01050784,biological adhesion; cell adhesion; immune response
Phel_contig_12352,P22682,E3 ubiquitin-protein ligase CBL (EC 6.3.2.-) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (Signal transduction protein CBL),0,2.579530549,0.002405641,cell surface receptor linked signal transduction
Phel_contig_13198,P33945,Protein Wnt-5b (Protein Wnt-5c) (XWnt-5C),6.00E-138,-2.924155279,0.000267806,cell surface receptor linked signal transduction
Phel_contig_13997,Q06805,Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1),2.00E-35,,,cell surface receptor linked signal transduction
Phel_contig_1456,Q08E66,"WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2",1.00E-29,2.795917667,2.41E-06,cell surface receptor linked signal transduction
Phel_contig_16207,O13016,Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (CPTP1) (Protein-tyrosine phosphatase 1B) (PTP-1B),9.00E-108,3.787790018,7.16E-05,cell surface receptor linked signal transduction
Phel_contig_17951,Q5ZIJ9,E3 ubiquitin-protein ligase MIB2 (EC 6.3.2.-) (Mind bomb homolog 2),2.00E-73,,,cell surface receptor linked signal transduction
Phel_contig_18507,Q06805,Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1),5.00E-22,,,cell surface receptor linked signal transduction
Phel_contig_1865,Q8JIY1,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (xKuz),0,2.771111729,3.26E-06,cell surface receptor linked signal transduction
Phel_contig_21335,Q9QYP1,Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7),3.00E-21,,,cell surface receptor linked signal transduction
Phel_contig_2254,Q9TUG2,Ski oncogene (Proto-oncogene c-Ski),2.00E-73,2.711684594,0.000566899,cell surface receptor linked signal transduction
Phel_contig_24757,Q2TJA6,Protein naked cuticle homolog 1 (Naked-1),2.00E-11,-3.633776884,0.001056231,cell surface receptor linked signal transduction
Phel_contig_2495,Q5ZIJ9,E3 ubiquitin-protein ligase MIB2 (EC 6.3.2.-) (Mind bomb homolog 2),0,1.917054086,0.006092137,cell surface receptor linked signal transduction
Phel_contig_25,Q9QYP1,Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7),1.00E-99,4.493463983,4.74E-05,cell surface receptor linked signal transduction
Phel_contig_2996,Q99N43,Kremen protein 1 (Dickkopf receptor) (Kringle domain-containing transmembrane protein 1) (Kringle-containing protein marking the eye and the nose),2.00E-15,,,cell surface receptor linked signal transduction
Phel_contig_3608,Q99N43,Kremen protein 1 (Dickkopf receptor) (Kringle domain-containing transmembrane protein 1) (Kringle-containing protein marking the eye and the nose),4.00E-14,2.632930187,1.24E-08,cell surface receptor linked signal transduction
Phel_contig_3622,O76093,Fibroblast growth factor 18 (FGF-18) (zFGF5),9.00E-20,-1.343879375,0.016206009,cell surface receptor linked signal transduction
Phel_contig_4043,Q5ZIJ9,E3 ubiquitin-protein ligase MIB2 (EC 6.3.2.-) (Mind bomb homolog 2),1.00E-71,,,cell surface receptor linked signal transduction
Phel_contig_4404,Q13905,Rap guanine nucleotide exchange factor 1 (CRK SH3-binding GNRP) (Guanine nucleotide-releasing factor 2) (Protein C3G),8.00E-65,1.812115638,0.01288348,cell surface receptor linked signal transduction
Phel_contig_442,P97346,Nucleoredoxin (EC 1.8.1.8) (Protein Red-1),2.00E-06,3.581091005,7.70E-07,cell surface receptor linked signal transduction
Phel_contig_461,Q8QGP3,Carboxypeptidase Z (CPZ) (cCPZ) (EC 3.4.17.-),4.00E-11,1.422218745,0.001443437,cell surface receptor linked signal transduction
Phel_contig_4685,O35464,Semaphorin-6A (Semaphorin Q) (Sema Q) (Semaphorin VIA) (Sema VIA) (Semaphorin-6A-1) (SEMA6A-1),4.00E-21,4.139525604,5.57E-06,cell surface receptor linked signal transduction
Phel_contig_4987,Q503L9,Nucleoredoxin (EC 1.8.1.8),1.00E-95,3.029087169,5.86E-06,cell surface receptor linked signal transduction
Phel_contig_8879,Q99958,Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14),2.00E-61,1.862576845,0.038169953,cell surface receptor linked signal transduction
Phel_contig_907,Q06805,Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1),5.00E-39,2.991990591,8.76E-09,cell surface receptor linked signal transduction
Phel_contig_9571,Q6FHJ7,"Secreted frizzled-related protein 4 (sFRP-4) (Frizzled protein, human endometrium) (FrpHE)",4.00E-65,-1.947514621,0.019271661,cell surface receptor linked signal transduction
